Offspring ID,Loci typed,First parent non-exclusion probability,Parent pair non-exclusion probability,Candidate mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio Delta,Trio confidence
MR12TH_016,11, 2.19991157444082E-0006, 3.03198568549338E-0017,MR09A_1305,11,11,3, 5.87535088005179E-0001, 0.00000000000000E+0000,,MR09A_0419,11,11,2, 8.22205868757981E+0000, 4.60144843056221E+0000,*,11,5, 1.10679245213693E+0001, 4.53789831866229E+0000,+,
MR12TH_016,11, 2.19991157444082E-0006, 3.03198568549338E-0017,MR09A_1149,11,11,4,-1.63245813892604E+0000, 0.00000000000000E+0000,,MR09A_0419,11,11,2, 8.22205868757981E+0000, 4.60144843056221E+0000,*,11,6, 6.53002620270701E+0000, 0.00000000000000E+0000,,
MR12TH_016,11, 2.19991157444082E-0006, 3.03198568549338E-0017,MR09A_1305,11,11,3, 5.87535088005179E-0001, 0.00000000000000E+0000,,MR09A_0582,9,9,3,-2.15978087338414E+0000, 0.00000000000000E+0000,,11,4, 5.75360107878182E+0000, 0.00000000000000E+0000,,
MR12TH_016,11, 2.19991157444082E-0006, 3.03198568549338E-0017,MR09A_0566,8,8,1, 6.82746969222755E+0000, 4.10975719555297E+0000,*,MR09A_0877,11,11,3,-2.47311777177937E+0000, 0.00000000000000E+0000,,11,4, 5.64212734131307E+0000, 0.00000000000000E+0000,,
MR12TH_016,11, 2.19991157444082E-0006, 3.03198568549338E-0017,MR09A_0566,8,8,1, 6.82746969222755E+0000, 4.10975719555297E+0000,*,MR09A_0811,11,11,4,-5.46350655504061E+0000, 0.00000000000000E+0000,,11,4, 4.99379176137238E+0000, 0.00000000000000E+0000,,
MR12TH_016,11, 2.19991157444082E-0006, 3.03198568549338E-0017,MR09A_0771,11,11,4,-3.73394488036298E+0000, 0.00000000000000E+0000,,MR09A_0419,11,11,2, 8.22205868757981E+0000, 4.60144843056221E+0000,*,11,6, 3.93442397298299E+0000, 0.00000000000000E+0000,,
MR12TH_016,11, 2.19991157444082E-0006, 3.03198568549338E-0017,MR09A_0566,8,8,1, 6.82746969222755E+0000, 4.10975719555297E+0000,*,MR09A_0229,11,11,4,-2.20723869350860E+0000, 0.00000000000000E+0000,,11,5, 3.85209746037018E+0000, 0.00000000000000E+0000,,
MR12TH_016,11, 2.19991157444082E-0006, 3.03198568549338E-0017,MR09A_0968,11,11,4,-4.91948984589850E+0000, 0.00000000000000E+0000,,MR09A_0419,11,11,2, 8.22205868757981E+0000, 4.60144843056221E+0000,*,11,6, 3.26999242570562E+0000, 0.00000000000000E+0000,,
MR12TH_016,11, 2.19991157444082E-0006, 3.03198568549338E-0017,MR09A_0539,11,11,5,-8.15843878170204E+0000, 0.00000000000000E+0000,,MR09A_0419,11,11,2, 8.22205868757981E+0000, 4.60144843056221E+0000,*,11,6, 3.04777713626979E+0000, 0.00000000000000E+0000,,
MR12TH_016,11, 2.19991157444082E-0006, 3.03198568549338E-0017,MR09A_0992,11,11,5,-8.82122768532257E+0000, 0.00000000000000E+0000,,MR09A_0419,11,11,2, 8.22205868757981E+0000, 4.60144843056221E+0000,*,11,6, 2.85537061157608E+0000, 0.00000000000000E+0000,,
MR12TH_016,11, 2.19991157444082E-0006, 3.03198568549338E-0017,MR09A_0566,8,8,1, 6.82746969222755E+0000, 4.10975719555297E+0000,*,MR09A_0711,10,10,2, 3.62061025701760E+0000, 0.00000000000000E+0000,,11,5, 2.21628026718625E+0000, 0.00000000000000E+0000,,
MR12TH_016,11, 2.19991157444082E-0006, 3.03198568549338E-0017,MR09A_0245,11,11,3,-2.54373550339039E+0000, 0.00000000000000E+0000,,MR09A_0419,11,11,2, 8.22205868757981E+0000, 4.60144843056221E+0000,*,11,6, 2.03073750582896E+0000, 0.00000000000000E+0000,,
MR12TH_016,11, 2.19991157444082E-0006, 3.03198568549338E-0017,MR09A_0566,8,8,1, 6.82746969222755E+0000, 4.10975719555297E+0000,*,MR09A_0830,11,11,4,-4.84602274846594E+0000, 0.00000000000000E+0000,,11,5, 1.86254918152310E+0000, 0.00000000000000E+0000,,
MR12TH_016,11, 2.19991157444082E-0006, 3.03198568549338E-0017,MR09A_0187,11,11,5,-8.42848401872745E+0000, 0.00000000000000E+0000,,MR09A_0419,11,11,2, 8.22205868757981E+0000, 4.60144843056221E+0000,*,11,6, 1.73534317512738E+0000, 0.00000000000000E+0000,,
MR12TH_016,11, 2.19991157444082E-0006, 3.03198568549338E-0017,MR09A_0733,11,11,5,-1.06495901457085E+0001, 0.00000000000000E+0000,,MR09A_0419,11,11,2, 8.22205868757981E+0000, 4.60144843056221E+0000,*,11,6, 1.69476575266248E+0000, 0.00000000000000E+0000,,
MR12TH_016,11, 2.19991157444082E-0006, 3.03198568549338E-0017,MR09A_0566,8,8,1, 6.82746969222755E+0000, 4.10975719555297E+0000,*,MR09A_0317,11,11,5,-9.22336599313478E+0000, 0.00000000000000E+0000,,11,5, 6.56157000551866E-0001, 0.00000000000000E+0000,,
MR12TH_016,11, 2.19991157444082E-0006, 3.03198568549338E-0017,MR09A_0566,8,8,1, 6.82746969222755E+0000, 4.10975719555297E+0000,*,MR09A_0419,11,11,2, 8.22205868757981E+0000, 4.60144843056221E+0000,*,11,6, 3.96916132667995E-0001, 0.00000000000000E+0000,,
MR12TH_016,11, 2.19991157444082E-0006, 3.03198568549338E-0017,MR09A_0566,8,8,1, 6.82746969222755E+0000, 4.10975719555297E+0000,*,MR09A_0281,11,11,4,-2.35962339891091E+0000, 0.00000000000000E+0000,,11,6, 1.25750392940084E-0001, 0.00000000000000E+0000,,
MR12TH_017,11, 3.28839481542341E-0007, 1.86996309424424E-0016,MR09A_1023,11,11,3, 2.52669616359890E+0000, 2.52669616359890E+0000,*,MR09A_1328,11,11,5,-7.62699961600143E+0000, 0.00000000000000E+0000,,11,5, 4.54823207074107E+0000, 2.33815790169908E+0000,-,
MR12TH_017,11, 3.28839481542341E-0007, 1.86996309424424E-0016,MR09A_0925,11,11,4,-2.98554527951748E+0000, 0.00000000000000E+0000,,MR09A_1328,11,11,5,-7.62699961600143E+0000, 0.00000000000000E+0000,,11,5, 2.21007416904199E+0000, 0.00000000000000E+0000,,
MR12TH_018,11, 1.35729358741184E-0006, 5.16718100932123E-0017,
MR12TH_019,11, 7.59130524867972E-0009, 1.26774380807388E-0020,
MR12TH_020,11, 1.24521967937080E-0007, 2.79301941974895E-0018,
MR12TH_021,11, 5.81093486481814E-0009, 6.04588506341081E-0021,
MR12TH_022,11, 1.36051945564828E-0007, 1.37402307960423E-0018,MR09A_1160,11,11,3, 2.05148119380130E-0001, 2.05148119380130E-0001,+,MR09A_1230,11,11,3, 5.54228327659882E-0001, 5.54228327659882E-0001,+,11,6, 1.11530581961908E+0000, 4.77452803749079E-0001,-,
MR12TH_022,11, 1.36051945564828E-0007, 1.37402307960423E-0018,MR09A_0245,11,11,5,-6.50058985221088E+0000, 0.00000000000000E+0000,,MR09A_1230,11,11,3, 5.54228327659882E-0001, 5.54228327659882E-0001,+,11,6, 6.37853015870003E-0001, 0.00000000000000E+0000,,
MR12TH_022,11, 1.36051945564828E-0007, 1.37402307960423E-0018,MR09A_0821,11,11,4,-3.47499594230246E+0000, 0.00000000000000E+0000,,MR09A_0256,11,11,5,-5.70755847426912E+0000, 0.00000000000000E+0000,,11,6, 1.74419918222196E-0001, 0.00000000000000E+0000,,
MR12TH_022,11, 1.36051945564828E-0007, 1.37402307960423E-0018,MR09A_0536,9,9,4,-5.76968637040227E+0000, 0.00000000000000E+0000,,MR09A_0710,11,11,5,-6.42883134229087E+0000, 0.00000000000000E+0000,,11,5, 1.59876679171965E-0001, 0.00000000000000E+0000,,
MR12TH_023,11, 4.34126804924435E-0007, 6.06428432366992E-0017,
MR12TH_024,11, 1.43184373034902E-0008, 9.93325317445222E-0021,
MR12TH_025,11, 8.10985512104756E-0008, 1.09188328451388E-0018,
MR12TH_026,11, 1.10358230734495E-0007, 1.70611566451958E-0019,
